Matrix,Tree
Cyclodina_lichenigera,Oligosoma_lichenigera
Cyclodina_macgregori,Oligosoma_macgregori
Cyclodina_oliveri,Oligosoma_oliveri
Cyclodina_ornata,Oligosoma_ornatum
Cyclodina_townsi,Oligosoma_townsi
Cyclodina_whitakeri,Oligosoma_whitakeri
Cyrtopodion_heterocercum,Mediodactylus_heterocercum
Cyrtopodion_kotschyi,Mediodactylus_kotschyi
Cyrtopodion_russowii,Mediodactylus_russowii
Cyrtopodion_sagittiferum,Mediodactylus_sagittiferum
Cyrtopodion_spinicaudum,Mediodactylus_spinicaudum
Davewakeum_miriamae,Brachymeles_miriamae
Dendrophidion_percarinatus,Dendrophidion_percarinatum
Dinodon_rufozonatum,Lycodon_rufozonatum
Dinodon_semicarinatum,Lycodon_semicarinatum
Disteira_kingii,Hydrophis_kingii
Disteira_major,Hydrophis_major
Egernia_guthega,Liopholis_guthega
Egernia_inornata,Liopholis_inornata
Egernia_kintorei,Liopholis_kintorei
Egernia_luctuosa,Lissolepis_luctuosa
Egernia_margaretae,Liopholis_margaretae
Egernia_modesta,Liopholis_modesta
Egernia_montana,Liopholis_montana
Egernia_multiscutata,Liopholis_multiscutata
Egernia_pulchra,Liopholis_pulchra
Egernia_striata,Liopholis_striata
Egernia_whitii,Liopholis_whitii
Elaphe_rufodorsata,Oocatochus_rufodorsatus
Enhydrina_schistosa,Hydrophis_schistosa
Enhydris_polylepis,Pseudoferania_polylepis
Euprepiophis_mandarina,Euprepiophis_mandarinus
Gallotia_gomerana,Gallotia_bravoana
Geckoella_triedrus,Cyrtodactylus_triedrus
Geckonia_chazaliae,Tarentola_chazaliae
Glaphyromorphus_douglasi,Eremiascincus_douglasi
Glaphyromorphus_gracilipes,Hemiergis_gracilipes
Glaphyromorphus_isolepis,Eremiascincus_isolepis
Glaphyromorphus_pardalis,Eremiascincus_pardalis
Gongylophis_colubrinus,Eryx_colubrinus
Gongylophis_conicus,Eryx_conicus
Haplocercus_ceylonensis,Aspidura_ceylonensis
Hemidactylus_greefii,Hemidactylus_greeffii
Hemidactylus_yerburyi,Hemidactylus_yerburii
Himalayophis_tibetanus,Trimeresurus_tibetanus
Hoplodactylus_chrysosireticus,Woodworthia_chrysosireticus
Hoplodactylus_cryptozoicus,Mokopirirakau_cryptozoicus
Hoplodactylus_granulatus,Mokopirirakau_granulatus
Hoplodactylus_kahutarae,Mokopirirakau_kahutarae
Hoplodactylus_maculatus,Woodworthia_maculatus
Hoplodactylus_nebulosus,Mokopirirakau_nebulosus
Hoplodactylus_pacificus,Dactylocnemis_pacificus
Hoplodactylus_rakiurae,Tukutuku_rakiurae
Hoplodactylus_stephensi,Toropuku_stephensi
Hydrophis_cyanocinctus,Hydrophis_cyanocincta
Hydrophis_melanocephalus,Hydrophis_melanocephala
Hydrophis_ornatus,Hydrophis_ornata
Hydrophis_pacificus,Hydrophis_pacifica
Lampropeltis_extenuata,Lampropeltis_extenuatum
Lamprophis_fuliginosus,Boaedon_fuliginosus
Lamprophis_inornatus,Lycodonomorphus_inornatus
Lamprophis_lineatus,Boaedon_lineatus
Lamprophis_olivaceus,Boaedon_olivaceus
Lamprophis_swazicus,Inyoka_swazicus
Lamprophis_virgatus,Boaedon_virgatus
Lapemis_curtus,Hydrophis_curtus
Laudakia_erythrogastra,Laudakia_erythrogaster
Leposternon_infraorbitale,Amphisbaena_infraorbitale
Leposternon_microcephalum,Amphisbaena_microcephalum
Leposternon_polystegum,Amphisbaena_polystegum
Leptotyphlops_adleri,Myriopholis_adleri
Leptotyphlops_albifrons,Epictia_albifrons
Leptotyphlops_algeriensis,Myriopholis_algeriensis
Leptotyphlops_asbolepis,Mitophis_asbolepis
Leptotyphlops_bicolor,Tricheilostoma_bicolor
Leptotyphlops_blanfordi,Myriopholis_blanfordi
Leptotyphlops_boueti,Myriopholis_boueti
Leptotyphlops_breuili,Tetracheilostoma_breuili
Leptotyphlops_carlae,Tetracheilostoma_carlae
Leptotyphlops_columbi,Epictia_columbi
Leptotyphlops_dulcis,Rena_dulcis
Leptotyphlops_goudotii,Epictia_goudotii
Leptotyphlops_humilis,Rena_humilis
Leptotyphlops_leptipilepta,Mitophis_leptipileptus
Leptotyphlops_longicaudus,Myriopholis_longicauda
Leptotyphlops_macrolepis,Trilepida_macrolepis
Leptotyphlops_macrorhynchus,Myriopholis_macrorhyncha
Leptotyphlops_occidentalis,Namibiana_occidentalis
Leptotyphlops_pyrites,Mitophis_pyrites
Leptotyphlops_rouxestevae,Myriopholis_rouxestevae
Leptotyphlops_septemstriatus,Siagonodon_septemstriatus
Liolaemus_dicktracy,Liolaemus_dicktracyi
Liolaemus_reichei,Liolaemus_stolzmanni
Liolaemus_zullyi,Liolaemus_zullyae
Liophis_almadensis,Erythrolamprus_almadensis
Liophis_amarali,Caaeteboia_amarali
Liophis_anomalus,Lygophis_anomalus
Liophis_atraventer,Erythrolamprus_atraventer
Liophis_breviceps,Erythrolamprus_breviceps
Liophis_ceii,Erythrolamprus_ceii
Liophis_elegantissimus,Lygophis_elegantissimus
Liophis_epinephelus,Erythrolamprus_epinephelus
Liophis_flavifrenatus,Lygophis_flavifrenatus
Liophis_jaegeri,Erythrolamprus_jaegeri
Liophis_juliae,Erythrolamprus_juliae
Liophis_lineatus,Lygophis_lineatus
Liophis_meridionalis,Lygophis_meridionalis
Liophis_miliaris,Erythrolamprus_miliaris
Liophis_paucidens,Lygophis_paucidens
Liophis_poecilogyrus,Erythrolamprus_poecilogyrus
Liophis_reginae,Erythrolamprus_reginae
Liophis_typhlus,Erythrolamprus_typhlus
Lygosoma_afrum,Mochlus_afer
Lystrophis_dorbignyi,Xenodon_dorbignyi
Lystrophis_histricus,Xenodon_histricus
Lystrophis_matogrossensis,Xenodon_matogrossensis
Lystrophis_nattereri,Xenodon_nattereri
Lystrophis_pulcher,Xenodon_pulcher
Lystrophis_semicinctus,Xenodon_semicinctus
Mabuya_macrophthalma,Eutropis_macrophthalma
Macroscincus_coctei,Chioninia_coctei
Maculophis_bella,Archelaphe_bella
Malpolon_moilensis,Rhagerhis_moilensis
Masticophis_flagellum,Coluber_flagellum
Masticophis_taeniatus,Coluber_taeniatus
Mehelya_capensis,Gonionotophis_capensis
Mehelya_nyassae,Gonionotophis_nyassae
Mehelya_poensis,Gonionotophis_poensis
Mehelya_stenophthalmus,Gonionotophis_stenophthalmus
Microacontias_lineatus,Acontias_lineatus
Microacontias_litoralis,Acontias_litoralis
Mochlus_sundevalli,Lygosoma_sundevalli
Nadzikambia_mlanjense,Nadzikambia_mlanjensis
Oedura_lesueurii,Amalosia_lesueurii
Oedura_obscura,Amalosia_obscura
Oedura_reticulata,Hesperoedura_reticulata
Oedura_rhombifer,Amalosia_rhombifer
Oedura_robusta,Nebulifera_robusta
Ophisaurus_gracilis,Dopasia_gracilis
Ophisaurus_harti,Dopasia_harti
Ophryacus_melanurus,Mixcoatlus_melanurus
Oreocryptophis_porphyracea,Oreocryptophis_porphyraceus
Oxyrhopus_petola,Oxyrhopus_petolarius
Parias_flavomaculatus,Trimeresurus_flavomaculatus
Parias_hageni,Trimeresurus_hageni
Parias_malcolmi,Trimeresurus_malcolmi
Parias_schultzei,Trimeresurus_schultzei
Parias_sumatranus,Trimeresurus_sumatranus
Pelamis_platura,Hydrophis_platura
Phelsuma_ocellata,Rhoptropella_ocellata
Philodryas_aestivus,Philodryas_aestiva
Phimophis_iglesiasi,Rodriguesophis_iglesiasi
Physignathus_lesueurii,Intellagama_lesueurii
Podarcis_atrata,Podarcis_liolepis
Podarcis_raffonei,Podarcis_raffoneae
Polyodontognathus_caerulescens,Hydrophis_caerulescens
Popeia_popeiorum,Trimeresurus_popeiorum
Pseudablabes_agassizii,Philodryas_agassizii
Pseudocyclophis_persicus,Eirenis_persicus
Pseudoleptodeira_uribei,Leptodeira_uribei
Rachidelus_brazili,Rhachidelus_brazili
